n_cells	gene_norm_count	a1_norm_count	a2_norm_count	avg_count	a1_ratio	min_ratio
ERY	3728	1437.59598172291	530.713429517305	763.697922596658	0.38562123973254	0.41000368905184	0.41000368905184
T-CELL	10942	97670.8970291829	33477.9031660512	56983.335909831	8.9262380761454	0.370080086322593	0.370080086322593
PRE-B-CELL	336	1097.36856249978	352.440558542802	687.990067759211	3.26597786458268	0.338744890464707	0.338744890464707
ERY (CD34+)	432	1049.28201996472	383.57978596218	553.744389029159	2.42889356473316	0.409228521141817	0.409228521141817
HSC	2261	7418.54829460474	2602.73727007066	4102.14566944203	3.28109168270886	0.388185340974771	0.388185340974771
B-CELL	868	4499.57904212626	1132.22990460303	3100.74684468954	5.1838468227261	0.267478413339325	0.267478413339325
DEND (M)	620	2411.94950335687	779.692941760964	1440.73128418747	3.89024113444657	0.35114593537995	0.35114593537995
MONO	1366	7939.906983054	2436.04916267755	5013.15173529128	5.81252341365593	0.327021541779304	0.327021541779304
CMP	49	151.022611372485	59.8780445847758	84.1226386211071	3.08209410964254	0.415817781219593	0.415817781219593
EOS	1	5.70710696338837	2.85355348169419	2.85355348169419	5.70710696338837	0.5	0.5
NK	24	399.907820575923	153.429815451202	217.46590053974	16.6628258573301	0.413673733171265	0.413673733171265
MEP	560	1443.75424413973	527.208349508618	781.183180132244	2.57813257882094	0.402943872353966	0.402943872353966
GRAN	8	47.9159990057599	22.1090376653902	23.2135564479448	5.98949987571998	0.487814920966432	0.487814920966432
BASO	1	0	0	0	0	NA	NA
NKT	4	34.6193645635334	13.4475182741851	15.798163197327	8.65484114088336	0.45981210208024	0.45981210208024
DEND (L)	3	12.8480134768442	3.88789918070928	7.67763351175513	4.28267115894807	0.336162568909814	0.336162568909814
MEGA	1	11.4123233215548	0.877871024734982	10.5344522968198	11.4123233215548	0.0769230769230769	0.0769230769230769
